COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30098 
 NOMBRE    : LOS HULES 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : CHALMA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.17083333 ° 
 LONGITUD  : -98.27916667 ° 
 ALTITUD   : 75 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1960-08-01	13.5	NULO	35.5	24.5
1960-08-02	6	NULO	33	22
1960-08-03	0	NULO	32	22
1960-08-04	0	NULO	34	21.5
1960-08-05	11	NULO	34.5	22
1960-08-06	0	NULO	33	22.5
1960-08-07	0	NULO	34.5	22
1960-08-08	1.8	NULO	32	22
1960-08-09	0.4	NULO	34	22
1960-08-10	0	NULO	34	22.5
1960-08-11	0	NULO	35	21.5
1960-08-12	0	NULO	33.5	22
1960-08-13	18.5	NULO	34.5	23
1960-08-14	12	NULO	32	23
1960-08-15	7.8	NULO	29.5	23
1960-08-16	1	NULO	30.5	22.5
1960-08-17	0.3	NULO	32.5	22
1960-08-18	0	NULO	29	21.5
1960-08-19	0	NULO	35	23
1960-08-20	0	NULO	31	23
1960-08-21	0.01	NULO	35	23
1960-08-22	0	NULO	35	24.5
1960-08-23	0	NULO	37	25
1960-08-24	0	NULO	36.5	24
1960-08-25	0	NULO	36	24
1960-08-26	11.5	NULO	36	23
1960-08-27	0	NULO	35	23
1960-08-28	0	NULO	36.5	23
1960-08-29	36.2	NULO	32	22.5
1960-08-30	4.5	NULO	29.5	21
1960-08-31	0	NULO	31	22
1960-09-01	3	NULO	33.5	21
1960-09-02	0.3	NULO	31	22
1960-09-03	5	NULO	30.5	23
1960-09-04	42	NULO	30.5	22
1960-09-05	0.5	NULO	30	23
1960-09-06	1.6	NULO	32	23
1960-09-07	0	NULO	32	22
1960-09-08	26.6	NULO	31.5	23
1960-09-09	0.01	NULO	35.5	22
1960-09-10	2	NULO	32	23
1960-09-11	0.8	NULO	28	23
1960-09-12	0	NULO	30.5	21
1960-09-13	0	NULO	32	20
1960-09-14	0	NULO	33	16
1960-09-15	0.01	NULO	34	16
1960-09-16	0	NULO	34	18
1960-09-17	0	NULO	32	19.5
1960-09-18	19	NULO	28	21
1960-09-19	5.5	NULO	29.5	21
1960-09-20	3.1	NULO	24.5	21
1960-09-21	0	NULO	31.5	21.5
1960-09-22	0	NULO	33	22
1960-09-23	0	NULO	33	22
1960-09-24	1	NULO	29	22
1960-09-25	0.01	NULO	28	21.5
1960-09-26	0	NULO	32	21.5
1960-09-27	0	NULO	32.5	18.5
1960-09-28	0	NULO	31.5	20
1960-09-29	0	NULO	32.5	18
1960-09-30	0	NULO	33	18
1960-10-01	0	NULO	32	16.5
1960-10-02	0	NULO	33.5	18
1960-10-03	0	NULO	33	21
1960-10-04	0	NULO	35	21
1960-10-05	0	NULO	35	21.5
1960-10-06	16	NULO	33	21
1960-10-07	0.01	NULO	30.5	18
1960-10-08	0	NULO	33	16
1960-10-09	0	NULO	32.5	18
1960-10-10	0.2	NULO	31	22.5
1960-10-11	0	NULO	31	22
1960-10-12	0	NULO	34	20.5
1960-10-13	0	NULO	30	22
1960-10-14	0	NULO	30	23
1960-10-15	2	NULO	34	24
1960-10-16	1.3	NULO	33	25
1960-10-17	1.5	NULO	32.5	24
1960-10-18	0	NULO	34	24
1960-10-19	200	NULO	33.5	22.5
1960-10-20	25.7	NULO	NULO	NULO
1960-10-21	18	NULO	20	18
1960-10-22	0.1	NULO	24	18
1960-10-23	0	NULO	31	18
1960-10-24	13	NULO	32	19
1960-10-25	0.01	NULO	30.5	22
1960-10-26	0.01	NULO	30.5	22.5
1960-10-27	0	NULO	32.5	21
1960-10-28	0	NULO	33	22
1960-10-29	0	NULO	32	23
1960-10-30	50.5	NULO	32.5	24
1960-10-31	0	NULO	24	17
1960-11-01	0	NULO	28	13
1960-11-02	0	NULO	31	16
1960-11-03	0	NULO	26.5	18.5
1960-11-04	0	NULO	28.5	20.5
1960-11-05	6.3	NULO	29	20
1960-11-06	27.4	NULO	26	18
1960-11-07	0	NULO	24	19
1960-11-08	0	NULO	28.5	19
1960-11-09	0	NULO	29.5	20
1960-11-10	6	NULO	21	20
1960-11-11	0.01	NULO	24.5	13.5
1960-11-12	0	NULO	28	14
1960-11-13	0	NULO	30	17
1960-11-14	0.01	NULO	30.5	20
