COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 24/04/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: APRIL DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 13139 
 NOMBRE    : HUAUTLA (DGE) 
 ESTADO    : HIDALGO 
 MUNICIPIO : HUAUTLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.0275 ° 
 LONGITUD  : -98.28972222 ° 
 ALTITUD   : 503 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1981-05-01	0	2.1	30	20
1981-05-02	0	1.82	29	19
1981-05-03	17.2	2.1	32	21
1981-05-04	0	4.34	34	20
1981-05-05	0	4.54	30	18
1981-05-06	0	5.24	34	19
1981-05-07	0	5.22	31	18
1981-05-08	6	4.13	32	20
1981-05-09	0	4.13	31	19
1981-05-10	0	3.12	28	19
1981-05-11	0	3.86	32	19
1981-05-12	0	4.35	28	17
1981-05-13	0	3.4	30	20
1981-05-14	0	6.73	25	20
1981-05-15	0	1.87	26	21
1981-05-16	0	4.22	30	21
1981-05-17	0	4.21	34	21
1981-05-18	0	5.14	35	21
1981-05-19	0	5.27	33	20
1981-05-20	0	4.02	29	21
1981-05-21	0	2.59	28	21
1981-05-22	0	5.48	29	20
1981-05-23	0	4.08	29	20
1981-05-24	0	4.82	32	21
1981-05-25	0	3.83	30	19
1981-05-26	0	4.7	30	19
1981-05-27	0	4.07	33	20
1981-05-28	0	4.55	32	19
1981-05-29	0	3.55	32	20
1981-05-30	0	4.2	31	19
1981-05-31	0	4.05	31	22
1981-06-01	16.7	3.94	31	21
1981-06-02	0	2.79	31	21
1981-06-03	0	1.34	28	22
1981-06-04	0	5.1	31	21
1981-06-05	0	6.35	31	21
1981-06-06	0	4.37	33	20
1981-06-07	0	3.62	32	21
1981-06-08	0	4.14	32	21
1981-06-09	0	3.21	35	23
1981-06-10	0	3.9	33	23
1981-06-11	0	5.87	31	21
1981-06-12	0	0.76	32	20
1981-06-13	40	4.15	31	19
1981-06-14	6	5.49	32	19
1981-06-15	0	0.17	33	19
1981-06-16	9.2	0.43	34	20
1981-06-17	51.2	0.32	32	19
1981-06-18	42.1	1.42	33	20
1981-06-19	0	2.22	29	19
1981-06-20	0	2.93	32	20
1981-06-21	0	4.11	31	21
1981-06-22	0	4.56	34	22
1981-06-23	0	3.1	36	24
1981-06-24	0	0.45	30	23
1981-06-25	0	2.51	34	20
1981-06-26	0	2.08	35	19
1981-06-27	0	2.77	31	21
1981-06-28	0	2.49	34	20
1981-06-29	0	4.09	29	18
1981-06-30	0	1.63	29	20
1981-07-01	0	1.99	26	20
1981-07-02	0	6.66	30	21
1981-07-03	0	5.34	32	21
1981-07-04	0	5.53	30	21
1981-07-05	0	5.13	30	20
1981-07-06	40	4.7	29	20
1981-07-07	3	3.44	27	19
1981-07-08	0	4.24	27	20
1981-07-09	0	3.39	26	22
1981-07-10	26	3.34	28	20
1981-07-11	0	3.59	30	22
1981-07-12	0	3.53	29	22
1981-07-13	0	2.76	28	20
1981-07-14	27	1.64	28	18
1981-07-15	20	2.11	28	20
1981-07-16	0	3.82	28	19
1981-07-17	0	2.81	28	20
1981-07-18	0	4.71	27	20
1981-07-19	0	6.17	29	18
1981-07-20	0	7.51	28	21
1981-07-21	0	5.9	27	20
1981-07-22	0	5.4	30	20
1981-07-23	0	5.38	30	21
1981-07-24	0	5.2	28	21
1981-07-25	0	4.9	28	21
1981-07-26	0	5.05	30	22
1981-07-27	0	2.31	28	20
1981-07-28	0	4.25	28	21
1981-07-29	34	3.32	29	20
1981-07-30	26	3.13	28	22
1981-07-31	0	4.25	28	21
1981-08-01	0	5.21	29	20
1981-08-02	0	5.27	30	19
1981-08-03	0	4.21	31	20
1981-08-04	0	3.9	31	22
1981-08-05	0	5.29	28	22
1981-08-06	0	4.29	28	21
1981-08-07	0	5.22	29	20.5
1981-08-08	2	5.28	31.5	22
1981-08-09	2.5	4.2	31.5	21.5
1981-08-10	0	3.9	27	20.5
1981-08-11	0	3.49	28	21.5
1981-08-12	0	4.31	30	21
1981-08-13	0	3.98	31	22
1981-08-14	0	2.16	28	22
1981-08-15	0	4.58	30	22
1981-08-16	0	3.2	32	21.5
1981-08-17	0	3.7	32.5	21.5
1981-08-18	0	4	32	23
1981-08-19	0	6.37	32.5	22.5
1981-08-20	0	3.03	30	21.5
1981-08-21	0	4.03	32	21
1981-08-22	0	3.77	32.5	21.5
1981-08-23	40.3	4.11	32	22
1981-08-24	20	4.86	25.5	20
1981-08-25	33.1	2.09	24	21
1981-08-26	40	2.22	25	21
1981-08-27	60.2	1.63	23	21.5
1981-08-28	0	1.11	23.5	21
1981-08-29	0	3.57	28	21
1981-08-30	0	3.93	29.5	21.5
1981-08-31	0	4.38	30	22.5
1981-09-01	0	3.97	32	22
1981-09-02	15.5	4.55	31	23
1981-09-03	20	4.18	29	23
1981-09-04	20.2	1.19	28	21
1981-09-05	0	2.45	27	20
1981-09-06	0	2.57	28	20
1981-09-07	0	3.89	29	20.5
1981-09-08	0	5.44	31	21
1981-09-09	0	4.06	31.5	20.5
